Synonym	Start	Stop	Strand	Name	Synonym	Product	CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17	CS18	CS19	CS20	CS21	CS22	CS23	CS24	CS25	CS26	Entry	Entry name	Protein names	Gene names	Pathway	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Cross-reference (GeneID)	EC number	Cross-reference (STRING)	Cross-reference (KEGG)	Cross-reference (UniPathway)
b0548	572921	573091	+	ninE	b0548	DLP12 prophage; conserved protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q47270	NINE_ECOLI	Prophage NinE homolog (Protein NinE homolog from lambdoid prophage DLP12)	ninE b0548 JW0536					945151;		511145.b0548;	ecj:JW0536;eco:b0548;	
b0549	573084	573374	+	ybcO	b0549	DLP12 prophage; uncharacterized protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P68661	YBCO_ECOLI	Putative nuclease YbcO (EC 3.1.-.-)	ybcO b0549 JW0537				metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	945147;	3.1.-.-	511145.b0549;	ecj:JW0537;eco:b0549;	
b0550	573371	573733	+	rusA	b0550	DLP12 prophage; endonuclease RUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0AG74	RUSA_ECOLI	Crossover junction endodeoxyribonuclease RusA (EC 3.1.22.4) (Holliday junction nuclease RusA) (Holliday junction resolvase)	rusA rus ybcP b0550 JW0538		DNA recombination [GO:0006310]; DNA repair [GO:0006281]		crossover junction endodeoxyribonuclease activity [GO:0008821]; four-way junction DNA binding [GO:0000400]; magnesium ion binding [GO:0000287]	49585103;945174;	3.1.22.4	511145.b0550;	ecj:JW0538;eco:b0550;	
b0551	573956	574339	+	quuD	b0551	DLP12 prophage; putative antitermination protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q47274	REQ1_ECOLI	Prophage antitermination protein Q homolog QuuD (Antitermination protein Q homolog from lambdoid prophage DLP12)	quuD ybcQ b0551 JW0539		negative regulation of DNA-templated transcription, termination [GO:0060567]; single-species biofilm formation [GO:0044010]; transcription antitermination [GO:0031564]		DNA binding [GO:0003677]	945177;		511145.b0551;	ecj:JW0539;eco:b0551;	
b0552	575753	574737	-	insH1	b0552	IS5 transposase and trans-activator	98	38	30	0	238	108	43	213	186	327	229	178	190	463	97	170	29	226	209	80	98	0	0	38	203	28	P0CE50	INSH2_ECOLI	Transposase InsH for insertion sequence element IS5B	insH2 b0552 JW0540		transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]	944917;944941;945896;946163;946577;947516;947743;948015;949121;			ecj:JW0540;eco:b0259;eco:b0552;eco:b0656;eco:b1331;eco:b2030;eco:b2192;eco:b2982;eco:b3218;eco:b3505;	
b0554	577398	577613	+	essD	b0554	DLP12 prophage; putative phage lysis protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0A9R2	ESSD_ECOLI	Prophage lysis protein S homolog EssD (Lysis protein S homolog from lambdoid prophage DLP12)	essD ybcR b0554 JW0543		cytolysis [GO:0019835]; viral release from host cell by cytolysis [GO:0044659]			49585099;947545;		511145.b0554;	ecj:JW0543;eco:b0554;	
b0555	577613	578110	+	rrrD	b0555	DLP12 prophage; putative lysozyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P78285	LYSD_ECOLI	Lysozyme RrrD (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase)	rrrD arrD ybcS b0555 JW0544		cell wall macromolecule catabolic process [GO:0016998]; cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; peptidoglycan catabolic process [GO:0009253]; viral release from host cell by cytolysis [GO:0044659]		lysozyme activity [GO:0003796]	947539;	3.2.1.17	511145.b0555;	ecj:JW0544;eco:b0555;	
b0556	578107	578568	+	rzpD	b0556	DLP12 prophage; putative murein endopeptidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P75719	RZPD_ECOLI	Prophage Rz endopeptidase RzpD (EC 3.4.-.-)	rzpD ybcT b0556 JW5079		cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; viral release from host cell [GO:0019076]		peptidase activity [GO:0008233]	945929;	3.4.-.-	511145.b0556;	ecj:JW5079;eco:b0556;	
b0557	578893	578600	-	borD	b0557	DLP12 prophage; putative lipoprotein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	P77330	BORD_ECOLI	Prophage lipoprotein Bor homolog (Lipoprotein Bor homolog from lambdoid prophage DLP12)	borD ybcU b0557 JW0546		cellular response to magnesium ion [GO:0071286]	plasma membrane [GO:0005886]		948980;		511145.b0557;	ecj:JW0546;eco:b0557;	
b0558	579594	579184	-	ybcV	b0558	DLP12 prophage; uncharacterized protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	P77598	YBCV_ECOLI	Uncharacterized protein YbcV	ybcV b0558 JW5081					945178;		511145.b0558;	ecj:JW5081;eco:b0558;	
b0559	579880	580086	+	ybcW	b0559	DLP12 prophage; uncharacterized protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P64435	YBCW_ECOLI	Uncharacterized protein YbcW	ybcW b0559 JW0548					945175;		511145.b0559;	ecj:JW0548;eco:b0559;	
b0560	580834	581379	+	nohD	b0560	DLP12 prophage; DNA packaging protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P31062	NOHD_ECOLI	DNA-packaging protein NU1 homolog	nohD nohB b0560 JW0549					945172;		511145.b0560;	ecj:JW0549;eco:b0560;	
b0564	583681	584430	+	appY	b0564	global transcriptional activator; DLP12 prophage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P05052	APPY_ECOLI	HTH-type transcriptional regulator AppY (M5 polypeptide)	appY b0564 JW0553		cellular response to phosphate starvation [GO:0016036]; positive regulation of transcription, DNA-templated [GO:0045893]; response to X-ray [GO:0010165]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	45505014;948797;		511145.b0564;	ecj:JW0553;eco:b0564;	
b0565	585633	584680	-	ompT	b0565	DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)	0	0	81	0	49	0	0	67	0	133	0	0	32	31	38	0	67	0	138	202	69	0	0	214	390	333	P09169	OMPT_ECOLI	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)	ompT b0565 JW0554		proteolysis [GO:0006508]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; intrinsic component of cell outer membrane [GO:0031230]	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]	945185;	3.4.23.49	511145.b0565;	ecj:JW0554;eco:b0565;	
b0566	586908	586147	-	envY	b0566	porin thermoregulatory transcriptional activator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	P10805	ENVY_ECOLI	Porin thermoregulatory protein EnvY	envY b0566 JW0555		response to temperature stimulus [GO:0009266]	membrane [GO:0016020]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	949114;		511145.b0566;	ecj:JW0555;eco:b0566;	
b0567	587981	587091	-	ybcH	b0567	PRK09936 family protein	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P37325	YBCH_ECOLI	Uncharacterized protein YbcH	ybcH b0567 JW0556					945186;		511145.b0567;	ecj:JW0556;eco:b0567;	
b0568	590954	587982	-	nfrA	b0568	bacteriophage N4 receptor, outer membrane subunit	0	0	13	35	0	0	0	0	0	8	27	0	0	13	9	0	0	16	0	4	0	0	0	0	0	0	P31600	NFRA_ECOLI	Bacteriophage adsorption protein A (Bacteriophage N4 adsorption protein A)	nfrA b0568 JW0557			cell outer membrane [GO:0009279]		944741;		511145.b0568;	ecj:JW0557;eco:b0568;	
b0569	593178	590941	-	nfrB	b0569	bacteriophage N4 receptor, inner membrane subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	13	P0AFA5	NFRB_ECOLI	Bacteriophage adsorption protein B (Bacteriophage N4 adsorption protein B)	nfrB b0569 JW0558		protein secretion by the type II secretion system [GO:0015628]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]		945849;		511145.b0569;	ecj:JW0558;eco:b0569;	
b0570	594770	593328	-	cusS	b0570	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	0	0	0	0	31	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P77485	CUSS_ECOLI	Sensor histidine kinase CusS (EC 2.7.13.3)	cusS ybcZ b0570 JW5082		cellular response to copper ion [GO:0071280]; cellular response to silver ion [GO:0071292]; peptidyl-histidine phosphorylation [GO:0018106]; phosphorelay signal transduction system [GO:0000160]; phosphorylation [GO:0016310]; signal transduction by protein phosphorylation [GO:0023014]	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]	945978;	2.7.13.3	511145.b0570;	ecj:JW5082;eco:b0570;	
b0571	595443	594760	-	cusR	b0571	response regulator in two-component regulatory system with CusS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0ACZ8	CUSR_ECOLI	Transcriptional regulatory protein CusR	cusR ylcA b0571 JW0560		phosphorelay signal transduction system [GO:0000160]; positive regulation of gene expression [GO:0010628]; regulation of transcription, DNA-templated [GO:0006355]; response to copper ion [GO:0046688]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	49585664;945003;		511145.b0571;	ecj:JW0560;eco:b0571;	
b0572	595600	596973	+	cusC	b0572	copper/silver efflux system, outer membrane component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P77211	CUSC_ECOLI	Cation efflux system protein CusC	cusC ibeB ylcB b0572 JW0561		cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; protein homotrimerization [GO:0070207]; protein palmitoylation [GO:0018345]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]	copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; diacylglycerol binding [GO:0019992]; efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288]	946288;		511145.b0572;	ecj:JW0561;eco:b0572;	
b0573	597131	597463	+	cusF	b0573	periplasmic copper- and silver-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P77214	CUSF_ECOLI	Cation efflux system protein CusF	cusF cusX ylcC b0573 JW0562		cellular copper ion homeostasis [GO:0006878]; detoxification of copper ion [GO:0010273]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]; response to zinc ion [GO:0010043]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	copper chaperone activity [GO:0016531]; copper ion binding [GO:0005507]; metallochaperone activity [GO:0016530]; transition metal ion binding [GO:0046914]	945188;		511145.b0573;	ecj:JW0562;eco:b0573;	
b0574	597479	598702	+	cusB	b0574	copper/silver efflux system, membrane fusion protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P77239	CUSB_ECOLI	Cation efflux system protein CusB	cusB ylcD b0574 JW0563		cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; plasma membrane copper ion transport [GO:0015679]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]; transmembrane transport [GO:0055085]	cell envelope [GO:0030313]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]	copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; transition metal ion binding [GO:0046914]; transmembrane transporter activity [GO:0022857]	945189;		511145.b0574;	ecj:JW0563;eco:b0574;	
b0575	598714	601857	+	cusA	b0575	copper/silver efflux system, membrane component	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	21	0	P38054	CUSA_ECOLI	Cation efflux system protein CusA	cusA ybdE b0575 JW0564		cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; plasma membrane copper ion transport [GO:0015679]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]; silver ion transport [GO:0015673]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; silver ion transmembrane transporter activity [GO:0015080]	945191;		511145.b0575;	ecj:JW0564;eco:b0575;	
b0576	601959	603335	+	pheP	b0576	phenylalanine transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	50	59	P24207	PHEP_ECOLI	Phenylalanine-specific permease	pheP b0576 JW0565		amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		945199;		511145.b0576;	ecj:JW0565;eco:b0576;	
b0577	604663	603416	-	ybdG	b0577	mechanosensitive channel protein, miniconductance	0	0	0	0	0	0	0	0	0	6	0	0	0	44	0	0	0	0	0	0	27	0	0	0	0	0	P0AAT4	YBDG_ECOLI	Miniconductance mechanosensitive channel YbdG	ybdG mscM b0577 JW0566		cellular response to osmotic stress [GO:0071470]; response to osmotic stress [GO:0006970]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; mechanosensitive ion channel activity [GO:0008381]	48107055;946243;		511145.b0577;	ecj:JW0566;eco:b0577;	
b0578	605424	604771	-	nfsB	b0578	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	78	0	0	0	0	0	0	0	0	0	P38489	NFSB_ECOLI	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)	nfsB dprA nfnB nfsI ntr b0578 JW0567		2,4,6-trinitrotoluene catabolic process [GO:0046256]	cytosol [GO:0005829]; membrane [GO:0016020]	6,7-dihydropteridine reductase activity [GO:0004155]; FMN binding [GO:0010181]; identical protein binding [GO:0042802]; NAD(P)H nitroreductase activity [GO:0018545]; oxidoreductase activity [GO:0016491]	945778;	1.-.-.-; 1.5.1.34	511145.b0578;	ecj:JW0567;eco:b0578;	
b0579	605886	605518	-	ybdF	b0579	DUF419 family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0AAT2	YBDF_ECOLI	Uncharacterized protein YbdF	ybdF b0579 JW5083					48724185;948302;		511145.b0579;	ecj:JW5083;eco:b0579;	
b0580	606199	605951	-	ybdJ	b0580	DUF1158 family putative inner membrane protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	P77506	YBDJ_ECOLI	Uncharacterized protein YbdJ	ybdJ b0580 JW0569			integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		947183;		511145.b0580;	ecj:JW0569;eco:b0580;	
b0581	607383	606265	-	ybdK	b0581	weak gamma-glutamyl:cysteine ligase	122	0	0	0	0	87	36	0	0	0	0	0	79	86	25	0	0	0	34	0	200	0	0	21	0	0	P77213	GCS2_ECOLI	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)	ybdK b0581 JW0570		cellular modified amino acid biosynthetic process [GO:0042398]		ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]	947246;	6.3.2.2	511145.b0581;	ecj:JW0570;eco:b0581;	
b0582	608065	609177	+	insL1	b0582	IS186 transposase	23	0	0	33	0	0	0	34	15	52	25	21	73	38	22	0	0	36	62	22	0	0	0	0	0	64	P0CF92	INSL2_ECOLI	Putative transposase InsL for insertion sequence element IS186B	insL2 b0582 JW0572		transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]	34758144;944754;945200;946896;			ecj:JW0572;eco:b0016;eco:b0582;eco:b2394;	
b0583	610079	609459	-	entD	b0583	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19925	ENTD_ECOLI	Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D)	entD b0583 JW5085	PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305|PubMed:9214294}.	enterobactin biosynthetic process [GO:0009239]; siderophore metabolic process [GO:0009237]	enterobactin synthetase complex [GO:0009366]; intrinsic component of plasma membrane [GO:0031226]	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]	945194;	2.7.8.-	511145.b0583;	ecj:JW5085;eco:b0583;	UPA00017
b0584	612494	610254	-	fepA	b0584	iron-enterobactin outer membrane transporter	0	0	0	0	0	0	0	0	0	10	0	0	0	0	109	0	0	33	14	0	42	0	0	0	0	0	P05825	FEPA_ECOLI	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	fepA fep feuB b0584 JW5086		colicin transport [GO:0042914]; enterobactin transport [GO:0042930]; ferric-enterobactin import into cell [GO:0015685]; siderophore-dependent iron import into cell [GO:0033214]; siderophore transmembrane transport [GO:0044718]	cell envelope [GO:0030313]; cell outer membrane [GO:0009279]; integral component of cell outer membrane [GO:0045203]; intrinsic component of cell outer membrane [GO:0031230]	colicin transmembrane transporter activity [GO:0042912]; enterobactin transmembrane transporter activity [GO:0042931]; ferric-enterobactin transmembrane transporter activity [GO:0015620]; ligand-gated channel activity [GO:0022834]; protein domain specific binding [GO:0019904]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]	945193;		511145.b0584;	ecj:JW5086;eco:b0584;	
b0585	612737	613939	+	fes	b0585	enterobactin/ferric enterobactin esterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	38	15	0	0	0	0	0	0	57	0	P13039	FES_ECOLI	Enterochelin esterase (Ferric enterobactin esterase)	fes b0585 JW0576		enterobactin catabolic process [GO:0046214]; siderophore-dependent iron import into cell [GO:0033214]	cytoplasm [GO:0005737]	enterochelin esterase activity [GO:0008849]; iron ion binding [GO:0005506]	945181;		511145.b0585;	ecj:JW0576;eco:b0585;	
b0586	614157	618038	+	entF	b0586	enterobactin synthase multienzyme complex component, ATP-dependent	0	0	0	0	0	10	0	0	0	0	0	0	0	0	13	0	13	11	0	0	36	0	0	0	0	0	P11454	ENTF_ECOLI	Enterobactin synthase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine-activating enzyme) (Seryl-AMP ligase)	entF b0586 JW0578	PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis.	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; enterobactin biosynthetic process [GO:0009239]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; enterobactin synthetase complex [GO:0009366]; plasma membrane [GO:0005886]	2,3-dihydroxybenzoate-serine ligase activity [GO:0047527]; ATP binding [GO:0005524]; hydrolase activity, acting on ester bonds [GO:0016788]; nucleotidyltransferase activity [GO:0016779]; phosphopantetheine binding [GO:0031177]	945184;	2.7.7.-	511145.b0586;	ecj:JW0578;eco:b0586;	UPA00017
b0587	618254	619387	+	fepE	b0587	regulator of length of O-antigen component of lipopolysaccharide chains	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	29	0	0	0	0	0	P26266	FEPE_ECOLI	Ferric enterobactin transport protein FepE	fepE b0587 JW0579		ferric-enterobactin import into cell [GO:0015685]; lipopolysaccharide biosynthetic process [GO:0009103]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ferric-enterobactin transmembrane transporter activity [GO:0015620]; protein tyrosine kinase activity [GO:0004713]	945180;		511145.b0587;	ecj:JW0579;eco:b0587;	
b0588	620199	619384	-	fepC	b0588	iron-enterobactin transporter subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P23878	FEPC_ECOLI	Ferric enterobactin transport ATP-binding protein FepC	fepC b0588 JW0580		ferric-enterobactin import into cell [GO:0015685]	plasma membrane [GO:0005886]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ferric-enterobactin transmembrane transporter activity [GO:0015620]	48724208;945201;		511145.b0588;	ecj:JW0580;eco:b0588;	
b0589	621188	620196	-	fepG	b0589	iron-enterobactin transporter subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	P23877	FEPG_ECOLI	Ferric enterobactin transport system permease protein FepG	fepG b0589 JW0581		ferric-enterobactin import into cell [GO:0015685]; siderophore-dependent iron import into cell [GO:0033214]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	ferric-enterobactin transmembrane transporter activity [GO:0015620]; transmembrane transporter activity [GO:0022857]	945209;		511145.b0589;	ecj:JW0581;eco:b0589;	
b0590	622189	621185	-	fepD	b0590	iron-enterobactin transporter subunit	38	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	P23876	FEPD_ECOLI	Ferric enterobactin transport system permease protein FepD	fepD b0590 JW0582		ferric-enterobactin import into cell [GO:0015685]; siderophore-dependent iron import into cell [GO:0033214]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	ferric-enterobactin transmembrane transporter activity [GO:0015620]; transmembrane transporter activity [GO:0022857]	945214;		511145.b0590;	ecj:JW0582;eco:b0590;	
b0591	622300	623550	+	entS	b0591	enterobactin exporter, iron-regulated	0	0	0	0	0	0	0	0	0	36	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	P24077	ENTS_ECOLI	Enterobactin exporter EntS (Protein p43)	entS ybdA b0591 JW0583		cellular response to DNA damage stimulus [GO:0006974]; enterobactin transport [GO:0042930]; response to antibiotic [GO:0046677]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	enterobactin transmembrane transporter activity [GO:0042931]	946268;		511145.b0591;	ecj:JW0583;eco:b0591;	
b0592	624510	623554	-	fepB	b0592	iron-enterobactin transporter subunit	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	P0AEL6	FEPB_ECOLI	Ferrienterobactin-binding periplasmic protein	fepB b0592 JW0584		cellular response to DNA damage stimulus [GO:0006974]; enterobactin transport [GO:0042930]; ferric-enterobactin import into cell [GO:0015685]	outer membrane-bounded periplasmic space [GO:0030288]		49585642;947538;		511145.b0592;	ecj:JW0584;eco:b0592;	
b0593	624885	626060	+	entC	b0593	isochorismate synthase 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	38	0	0	0	0	0	0	0	P0AEJ2	ENTC_ECOLI	Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase)	entC b0593 JW0585	PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305}.	enterobactin biosynthetic process [GO:0009239]		isochorismate synthase activity [GO:0008909]; magnesium ion binding [GO:0000287]	945511;	5.4.4.2	511145.b0593;	ecj:JW0585;eco:b0593;	UPA00017
b0594	626070	627680	+	entE	b0594	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	0	0	17	0	0	0	0	0	0	0	0	0	0	0	81	14	0	0	15	30	0	22	0	0	0	0	P10378	ENTE_ECOLI	Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC 2.7.7.58) (Dihydroxybenzoic acid-activating enzyme) (Enterochelin synthase E) (S-dihydroxybenzoyltransferase) (EC 2.5.1.-)	entE b0594 JW0586	PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305|PubMed:9485415}.	enterobactin biosynthetic process [GO:0009239]	cytosol [GO:0005829]; membrane [GO:0016020]	(2,3-dihydroxybenzoyl)adenylate synthase activity [GO:0008668]; 2,3-dihydroxybenzoate-serine ligase activity [GO:0047527]; ATP binding [GO:0005524]; transferase activity, transferring acyl groups [GO:0016746]	947426;	6.3.2.14; 2.7.7.58; 2.5.1.-	511145.b0594;	ecj:JW0586;eco:b0594;	UPA00017
b0595	627694	628551	+	entB	b0595	isochorismatase	0	0	53	0	0	0	0	0	0	31	0	0	0	0	40	0	0	51	0	0	0	0	0	0	0	38	P0ADI4	ENTB_ECOLI	Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: Isochorismatase (EC 3.3.2.1) (2,3-dihydro-2,3-dihydroxybenzoate synthase) (Isochorismate lyase); Aryl carrier protein (ArCP)]	entB entG b0595 JW0587	PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305|PubMed:9214294}.	enterobactin biosynthetic process [GO:0009239]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	2,3-dihydroxybenzoate-serine ligase activity [GO:0047527]; identical protein binding [GO:0042802]; isochorismatase activity [GO:0008908]; magnesium ion binding [GO:0000287]; phosphopantetheine binding [GO:0031177]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	49585639;946178;	6.3.2.14; 3.3.2.1	511145.b0595;	ecj:JW0587;eco:b0595;	UPA00017
b0596	628551	629297	+	entA	b0596	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	0	0	18	0	0	0	0	0	0	0	34	0	0	0	87	53	0	0	35	0	0	0	0	0	0	0	P15047	ENTA_ECOLI	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (DiDHB-DH) (EC 1.3.1.28) (Trans-2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase)	entA b0596 JW0588	PATHWAY: Siderophore biosynthesis; enterobactin biosynthesis. {ECO:0000305}.	enterobactin biosynthetic process [GO:0009239]; protein homotetramerization [GO:0051289]	cytosol [GO:0005829]	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity [GO:0008667]; identical protein binding [GO:0042802]	945284;	1.3.1.28	511145.b0596;	ecj:JW0588;eco:b0596;	UPA00017
